Ticker,Date/Time,Close P,Volume,Ty le tang trong ngay,Do bien KL,chieukhau_1thang,chieukhau_2thang,chieukhau_6thang,chieukhau_12thang,chieukhau_thoidai,MA_status,MA_status_up,MA_status_down,Earth3Dailystatus,Earth3Weeklystatus,Pice/MA20,Pice/MA200,So_ngay_tl,Price/BBTopdaily,Price/BBTopdaily,Pricevsbbband,PricevsMA,Earth3_Position,Earth3_Position_weekly,Earth3_Position_trend,Earth3_Position_Weekly_trend,BBandBot,BBandTop,BBbandBot_Wly,BBandTop_Wkl,fib1,fib2 P,fib3,fib4 P,fib5 P,MA20,MA100,MA200,pricevsFib,Mo_hinh_nen
BMP,4/6/2020,37.00,23450.00,0.0278,-0.8748,-0.1180,-0.1685,-0.2920,-0.2972,-0.6053,1.00,1.00,0.00,1.0000,0.0000,0.0249,-0.1954,0.0000,-0.0142,-0.2387,0,0,66.66,0.90,1,1,33.07,37.53,33.38,48.60,38.81,37.70,36.80,35.90,34.63,36.10,43.88,45.98,3,/ndoji_standard
CTD,4/6/2020,51.60,62780.00,0.0694,-0.6789,-0.2629,-0.2629,-0.3120,-0.5373,-0.7700,0.00,0.00,0.00,1.0000,1.0000,-0.0313,-0.3348,0.0000,-0.0933,-0.2512,0,0,28.39,8.50,1,1,44.92,56.91,43.66,68.91,62.26,58.77,55.95,53.13,49.11,53.26,59.37,77.58,0,
CTI,4/6/2020,21.30,8190.00,0.0000,-0.9193,-0.0318,-0.0596,-0.1446,-0.1680,-0.4363,0.00,0.00,0.00,1.0000,1.0000,-0.0110,-0.0697,26.0000,-0.0308,-0.0725,0,0,34.81,31.77,1,1,21.02,21.98,20.58,22.97,21.10,20.55,20.10,19.65,19.01,21.54,22.11,22.90,1,/ndoji_standard
CII,4/6/2020,18.80,571910.00,0.0027,-0.2282,-0.1435,-0.2327,-0.2769,-0.2769,-0.5347,0.00,0.00,0.00,1.0000,0.0000,-0.0423,-0.1614,9.0000,-0.0931,-0.3042,0,0,27.13,0.00,1,1,17.48,20.73,17.50,27.02,20.89,20.20,19.65,19.10,18.31,19.63,22.67,22.42,0,/ndoji_standard
DCL,4/6/2020,18.40,17230.00,0.0222,-0.8843,-0.1598,-0.2923,-0.4250,-0.4250,-0.4250,0.00,0.00,0.00,0.0000,0.0000,-0.0660,-0.0911,4.0000,-0.1713,-0.3427,0,0,4.86,5.09,1,1,17.18,22.20,16.51,27.99,20.76,19.99,19.38,18.76,17.87,19.70,22.92,20.24,0,
CTG,4/6/2020,19.60,2448340.00,0.0426,-0.6523,-0.2403,-0.2937,-0.2937,-0.2937,-0.4801,0.00,0.00,0.00,1.0000,0.0000,-0.0285,-0.0992,1.0000,-0.0845,-0.3260,0,0,32.52,0.49,1,1,17.00,21.41,17.59,29.08,23.06,21.82,20.83,19.83,18.41,20.17,22.52,21.76,0,
CVT,4/6/2020,16.90,63610.00,0.0662,-0.6948,-0.1129,-0.1796,-0.2684,-0.2929,-0.5533,1.00,1.00,0.00,1.0000,0.0000,0.0720,-0.1663,0.0000,0.0238,-0.2610,4,0,72.08,1.13,1,1,14.35,16.51,14.54,22.87,17.52,16.91,16.42,15.94,15.24,15.77,19.60,20.27,3,
CTS,4/6/2020,5.90,320.00,0.0261,-0.9974,-0.1547,-0.2027,-0.2532,-0.3124,-0.6707,0.00,0.00,0.00,1.0000,0.0000,-0.0367,-0.2306,0.0000,-0.1396,-0.2553,0,0,35.14,0.00,1,1,5.06,6.86,5.57,7.92,6.44,6.15,5.92,5.69,5.36,6.13,7.12,7.67,0,
DBC,4/6/2020,16.90,117200.00,0.0421,-0.6754,0.0156,-0.0888,-0.2081,-0.2159,-0.3848,2.00,1.00,0.00,2.0000,0.0000,0.0951,-0.1077,0.0000,-0.0031,-0.1908,3,0,99.99,6.12,1,1,13.72,16.95,13.63,20.89,16.26,15.68,15.21,14.73,14.06,15.43,18.40,18.94,0,
DCM,4/6/2020,5.76,25110.00,0.0123,-0.9541,-0.0573,-0.0813,-0.2055,-0.2644,-0.5328,1.00,0.00,0.00,1.0000,1.0000,0.0203,-0.1539,1.0000,-0.0395,-0.1089,0,0,55.61,15.88,1,1,5.29,6.00,5.40,6.46,5.81,5.67,5.56,5.45,5.29,5.65,6.26,6.81,0,/ndoji_standard
DGC,4/6/2020,20.00,3800.00,0.0050,-0.9741,-0.1803,-0.2000,-0.3009,-0.3670,-0.5416,0.00,0.00,0.00,0.0000,0.0000,-0.0751,-0.2264,4.0000,-0.1489,-0.2545,0,0,10.91,0.43,1,1,18.99,23.50,19.95,26.83,22.98,22.11,21.40,20.69,19.68,21.63,24.47,25.85,0,
DIG,4/6/2020,10.90,151290.00,0.0093,-0.9079,-0.1926,-0.1985,-0.2214,-0.2781,-0.6980,0.00,0.00,0.00,1.0000,0.0000,-0.0386,-0.1701,2.0000,-0.0804,-0.2345,0,0,26.28,0.00,1,1,10.22,11.85,10.35,14.24,12.17,11.72,11.36,11.00,10.48,11.34,12.75,13.13,0,
DXG,4/6/2020,8.89,828330.00,0.0698,-0.6440,-0.3511,-0.3511,-0.4546,-0.4905,-0.6790,0.00,0.00,0.00,1.0000,0.0000,-0.1164,-0.3667,0.0000,-0.2367,-0.4195,0,0,16.03,0.00,1,1,7.30,11.65,8.19,15.31,11.79,10.91,10.20,9.50,8.49,10.06,12.88,14.04,5,
DHG,4/6/2020,82.00,1170.00,0.0024,-0.9662,-0.1368,-0.2008,-0.2008,-0.2441,-0.3259,1.00,1.00,0.00,1.0000,0.0000,0.0068,-0.1264,7.0000,-0.0213,-0.2034,0,0,68.50,0.89,1,1,74.94,83.78,76.29,102.94,89.67,86.37,83.70,81.03,77.24,81.44,91.48,93.86,0,
DHA,4/6/2020,28.60,760.00,-0.0017,-0.8421,-0.1186,-0.1200,-0.1280,-0.1862,-0.1862,0.00,0.00,0.00,1.0000,0.0000,-0.0251,-0.0873,2.0000,-0.0537,-0.1591,0,0,31.63,4.15,1,1,27.31,30.22,27.43,34.01,31.21,30.44,29.83,29.21,28.32,29.33,30.98,31.34,5,
FTS,4/6/2020,10.40,16140.00,0.0097,-0.8096,-0.2239,-0.2353,-0.2353,-0.2464,-0.3890,0.00,0.00,0.00,1.0000,1.0000,-0.1000,-0.1507,2.0000,-0.1882,-0.2488,0,0,12.12,15.44,1,1,9.54,12.81,10.00,13.84,12.49,11.90,11.42,10.95,10.27,11.56,12.04,12.25,0,
EIB,4/6/2020,14.90,5660.00,-0.0197,-0.9845,-0.1337,-0.1653,-0.2095,-0.2095,-0.2095,0.00,0.00,0.00,0.0000,0.0000,-0.0648,-0.1360,5.0000,-0.1020,-0.2064,1,0,5.16,0.00,1,1,14.71,16.59,14.96,18.78,16.41,15.95,15.57,15.20,14.67,15.93,17.14,17.25,0,
FCN,4/6/2020,7.85,65380.00,0.0356,-0.8959,-0.1737,-0.2134,-0.3431,-0.4494,-0.6191,1.00,0.00,0.00,2.0000,0.0000,0.0592,-0.2913,1.0000,0.0046,-0.3088,4,0,80.14,2.35,1,1,6.59,7.81,6.67,11.36,8.72,8.29,7.95,7.61,7.12,7.41,9.52,11.08,0,
FMC,4/6/2020,18.70,18370.00,0.0686,-0.8221,-0.1974,-0.2667,-0.2983,-0.3377,-0.3414,0.00,0.00,0.00,1.0000,0.0000,-0.0070,-0.2501,0.0000,-0.1047,-0.3642,0,0,29.78,0.00,1,1,15.49,20.89,16.26,29.41,21.16,20.02,19.10,18.18,16.87,18.83,24.02,24.94,0,/ndoji_standard
GAS,4/6/2020,62.30,282260.00,0.0524,-0.6065,-0.1961,-0.2960,-0.4258,-0.4258,-0.5017,1.00,1.00,0.00,2.0000,0.0000,0.0513,-0.3404,0.0000,0.0007,-0.4215,4,0,72.43,0.20,1,1,52.99,62.26,48.71,107.70,67.80,65.15,63.00,60.85,57.79,59.26,86.75,94.45,0,
DPM,4/6/2020,12.55,153500.00,0.0121,-0.8233,0.0080,-0.0157,-0.1162,-0.2301,-0.7020,3.00,1.00,0.00,2.0000,1.0000,0.0745,-0.0632,1.0000,-0.0013,-0.0400,3,0,100.00,21.99,1,1,10.84,12.57,11.23,13.07,12.16,11.82,11.55,11.28,10.89,11.68,12.53,13.40,0,inverted_Hammer
HDB,4/6/2020,19.80,206810.00,0.0128,-0.8856,-0.2929,-0.3389,-0.3389,-0.3389,-0.6038,0.00,0.00,0.00,1.0000,0.0000,-0.0520,-0.2570,1.0000,-0.1107,-0.4088,0,0,38.10,0.00,1,1,17.14,22.26,17.77,33.49,24.31,22.74,21.48,20.21,18.40,20.89,26.49,26.65,0,
FPT,4/6/2020,46.30,592230.00,0.0381,-0.7320,-0.1426,-0.1732,-0.2410,-0.2410,-0.2410,1.00,1.00,0.00,1.0000,0.0000,0.0002,-0.1313,0.0000,-0.0775,-0.2498,0,0,43.64,0.00,1,1,40.05,50.19,42.64,61.72,49.57,47.76,46.30,44.84,42.75,46.29,54.11,53.30,3,
HBC,4/6/2020,7.27,864100.00,0.0629,-0.7050,-0.3174,-0.3651,-0.4230,-0.5384,-0.8145,0.00,0.00,0.00,1.0000,0.0000,-0.0497,-0.4056,0.0000,-0.1405,-0.4589,0,0,32.09,0.00,1,1,5.88,8.46,6.18,13.44,9.13,8.49,7.98,7.47,6.74,7.65,10.40,12.23,0,
HCM,4/6/2020,13.55,1686880.00,0.0669,0.1225,-0.2534,-0.2961,-0.4627,-0.4627,-0.6707,1.00,1.00,0.00,1.0000,0.0000,0.0030,-0.3485,0.0000,-0.0761,-0.4406,0,0,45.46,0.00,1,1,11.15,14.67,10.97,24.22,15.61,14.69,13.95,13.21,12.15,13.51,19.54,20.80,0,
GIL,4/6/2020,16.40,2840.00,0.0218,-0.9568,-0.1525,-0.2494,-0.2494,-0.3926,-0.5700,1.00,1.00,0.00,1.0000,0.0000,0.0011,-0.1998,1.0000,-0.0663,-0.2208,0,0,39.37,0.25,1,1,14.90,17.57,14.48,21.05,17.91,17.27,16.75,16.23,15.49,16.38,18.01,20.50,4,
HDG,4/6/2020,18.55,120340.00,0.0451,-0.7741,-0.3013,-0.3445,-0.4604,-0.4865,-0.4865,0.00,0.00,0.00,1.0000,0.0000,-0.0321,-0.4010,0.0000,-0.0844,-0.4675,0,0,35.34,0.00,1,1,15.87,20.26,15.56,34.83,23.45,22.03,20.88,19.72,18.09,19.17,27.88,30.97,0,
