Ticker,Date/Time,Close P,Volume,Ty le tang trong ngay,Do bien KL,chieukhau_1thang,chieukhau_2thang,chieukhau_6thang,chieukhau_12thang,chieukhau_thoidai,MA_status,MA_status_up,MA_status_down,Earth3Dailystatus,Earth3Weeklystatus,Pice/MA20,Pice/MA200,So_ngay_tl,Price/BBTopdaily,Price/BBTopdaily,Pricevsbbband,PricevsMA,Earth3_Position,Earth3_Position_weekly,Earth3_Position_trend,Earth3_Position_Weekly_trend,BBandBot,BBandTop,BBbandBot_Wly,BBandTop_Wkl,fib1,fib2 P,fib3,fib4 P,fib5 P,MA20,MA100,MA200,pricevsFib,Mo_hinh_nen
BVS,4/1/2020,8.10,67900.00,0.0253,0.1434,-0.1474,-0.2569,-0.2569,-0.2823,-0.9370,0.00,0.00,0.00,0.0000,0.0000,-0.0674,-0.2103,2.0000,-0.1065,-0.2757,0,0,0.00,0.00,0,1,7.93,9.07,8.08,11.18,9.10,8.85,8.65,8.45,8.16,8.69,9.77,10.26,0,
CTD,4/1/2020,45.10,217950.00,0.0033,0.0401,-0.3557,-0.3557,-0.3995,-0.5956,-0.7990,0.00,0.00,0.00,0.0000,1.0000,-0.1820,-0.4219,1.0000,-0.2255,-0.3493,0,0,0.00,23.66,0,1,45.08,58.23,43.15,69.31,64.55,60.62,57.45,54.28,49.76,55.13,59.87,78.02,0,/ndoji_standard
CII,4/1/2020,18.70,401430.00,0.0331,-0.3797,-0.1762,-0.2667,-0.2808,-0.2808,-0.5371,0.00,0.00,0.00,0.0000,0.0000,-0.0635,-0.1673,4.0000,-0.1230,-0.3041,0,0,8.53,0.00,0,1,17.42,21.32,18.06,26.87,21.50,20.70,20.05,19.40,18.48,19.97,22.78,22.46,5,
CTI,4/1/2020,21.45,53470.00,0.0118,-0.5249,-0.0250,-0.0633,-0.1386,-0.1621,-0.4323,0.00,0.00,0.00,0.0000,1.0000,-0.0071,-0.0639,24.0000,-0.0257,-0.0661,1,0,16.02,34.11,0,1,20.97,22.01,20.67,22.97,21.10,20.55,20.10,19.65,19.01,21.60,22.18,22.92,1,
CTS,4/1/2020,5.66,26770.00,0.0679,-0.7870,-0.1914,-0.2351,-0.2854,-0.3403,-0.6841,0.00,0.00,0.00,0.0000,0.0000,-0.0932,-0.2642,0.0000,-0.1896,-0.2899,0,0,6.92,0.00,0,1,5.09,6.98,5.70,7.97,6.58,6.27,6.02,5.76,5.40,6.24,7.17,7.69,5,
CVT,4/1/2020,15.30,55110.00,0.0200,-0.7661,-0.2031,-0.2783,-0.3433,-0.3598,-0.5956,0.00,0.00,0.00,1.0000,0.0000,-0.0455,-0.2459,7.0000,-0.0508,-0.3394,0,0,13.78,0.00,0,1,14.58,16.12,14.65,23.16,18.13,17.41,16.83,16.24,15.41,16.03,19.74,20.29,0,
CTG,4/1/2020,18.30,5514550.00,0.0640,-0.2350,-0.3081,-0.3405,-0.3405,-0.3405,-0.5146,0.00,0.00,0.00,0.0000,0.0000,-0.1224,-0.1594,2.0000,-0.1831,-0.3705,0,0,3.33,11.52,0,1,16.72,22.40,17.68,29.07,24.43,22.93,21.73,20.52,18.79,20.85,22.58,21.77,0,
DCL,4/1/2020,18.20,107010.00,0.0111,-0.2703,-0.1727,-0.3000,-0.4312,-0.4312,-0.4312,0.00,0.00,0.00,0.0000,0.0000,-0.0927,-0.1011,2.0000,-0.1778,-0.3737,1,0,0.00,5.09,0,1,17.70,22.14,16.83,29.06,21.07,20.24,19.58,18.91,17.96,20.06,22.92,20.25,5,
DBC,4/1/2020,19.30,217860.00,0.0266,-0.3070,-0.0178,-0.1572,-0.2341,-0.2417,-0.4050,1.00,0.00,0.00,2.0000,0.0000,0.0594,-0.1388,1.0000,-0.0065,-0.2375,0,0,88.26,0.00,1,1,16.39,19.43,16.02,25.31,19.04,18.38,17.85,17.32,16.56,18.22,21.82,22.41,1,
DGC,4/1/2020,19.90,36195.00,0.0258,-0.7432,-0.1844,-0.2227,-0.3044,-0.3701,-0.5439,0.00,0.00,0.00,0.0000,0.0000,-0.0983,-0.2325,1.0000,-0.1611,-0.2549,0,0,0.94,0.43,0,1,19.45,23.72,20.72,26.71,23.21,22.29,21.55,20.81,19.75,22.07,24.58,25.93,5,
